trial,cv_score,mac,n_factors,optional,all_factors
68,0.39071561496794066,0.02467388881397683,6,x_price_impact|x_adx|x_ma_afternoon_ret,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_adx|x_ma_afternoon_ret
1,0.3556210411313031,0.03731466019677787,7,x_price_impact|x_adx|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_adx|x_price_ma250_dev|x_open_interest
7,0.21972728314416448,0.04191500959106823,6,x_price_impact|x_spread_8h|x_parkinson_volatility,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_spread_8h|x_parkinson_volatility
50,0.21266027617156313,0.039186370602228376,7,x_amihud_volatility|x_adx|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_price_ma250_dev|x_open_interest
76,0.20542656180929572,0.029939065366657195,7,x_amihud_volatility|x_adx|x_spread_8h|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_spread_8h|x_price_volume_trend
83,0.14146191365092894,0.034037240276540655,7,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_spread_8h,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_spread_8h
69,0.06968359938291216,0.033120940692928175,7,x_adx|x_kyle_lambda_lag|x_spread_8h|x_parkinson_volatility,x_ma_ret_4h|x_is_night|x_session_sin|x_adx|x_kyle_lambda_lag|x_spread_8h|x_parkinson_volatility
88,0.05328034795821536,0.030849284264656093,7,x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_open_interest
3,0.029145694603794296,0.055049792175996023,6,x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev,x_ma_ret_4h|x_is_night|x_session_sin|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev
79,0.025856059081175234,0.05112614732243664,6,x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend
59,-0.015463327236663025,0.03790874967138848,7,x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_volume_trend
8,-0.03660266478063408,0.02934885818290829,9,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_spread_8h|x_parkinson_volatility,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_spread_8h|x_parkinson_volatility
32,-0.06057155700946365,0.034724826516166145,6,x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
11,-0.07210558217012344,0.03157845741112165,7,x_amihud_volatility|x_adx|x_price_ma250_dev|x_parkinson_volatility,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_price_ma250_dev|x_parkinson_volatility
93,-0.19174641699670988,0.028927053411487484,7,x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_price_ma250_dev,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_price_ma250_dev
60,-0.2388056377093655,0.03382228029421559,5,x_amihud_volatility|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_open_interest
81,-0.3100482794651112,0.03043661611394392,9,x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_parkinson_volatility,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_parkinson_volatility
14,-0.3404854171038419,0.04629795109689389,7,x_adx|x_ma_afternoon_ret|x_parkinson_volatility|x_price_volume_trend,x_ma_ret_4h|x_is_night|x_session_sin|x_adx|x_ma_afternoon_ret|x_parkinson_volatility|x_price_volume_trend
58,-0.4722143863711307,0.050201267758805006,6,x_ma_afternoon_ret|x_parkinson_volatility|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_ma_afternoon_ret|x_parkinson_volatility|x_open_interest
