,factor,ic_ir,residual_ic_ir
100,x_intraday_return_240min_1,0.03609276165612246,0.24943187296724584
101,x_vol_accel_240min_1,0.2557169630358105,0.24941303768537892
102,x_rel_vol_240min_1,0.1754548197102161,0.24835455340343443
103,x_ma5_60min_1,0.7337382424672844,0.24656635964331103
104,x_vol_ma_ratio_60min_1,0.09011699318854388,0.2462228209768338
105,x_ma_bar_ret,,0.24512941750520315
106,x_vpin_zscore_60min_1,0.2589144634706644,0.24424526930101145
107,x_ma_ret_4h_1,,0.24412853392881498
108,x_buy_vol_1,0.35535931563700357,0.24270209575487928
109,x_close_pos_ratio_60min_1,0.22332411168927932,0.24084865110330292
110,x_price_impact_60min_1,0.26869646674671355,0.23425766138370355
111,x_linearreg_ma_240min_1,0.18753259718156456,0.2336528304067153
112,x_ma_ret_6h,,0.23328009267985125
113,x_price_reversal_240min,0.12515893548663803,0.2327983486047081
114,x_market_depth_imbalance_240min,0.2347411929896054,0.23003101807440998
115,x_vwap_dev_60min,0.18505156588726704,0.22913159574534858
116,x_ad_60min,0.021412006665093828,0.22816977371809366
117,x_vpin_240min_1,0.2294119785131983,0.22766792398585
118,x_vwap_dev_240min,0.06615661627142101,0.2264937368126719
119,x_vwap_dev_240min_1,0.0565216503133396,0.22607694592034314
120,x_vwap_dev_60min_1,0.16135972592881495,0.22374473113724858
121,x_ma20_60min_1,0.8016229445584616,0.2219441898127995
122,x_buy_vol,0.3108182833288969,0.2206254513319747
123,x_vpin_240min,0.22702432651100976,0.2177706348872117
124,x_ma_ret_1h,,0.21670038863668858
125,x_sell_vol_1,0.37063568311473105,0.2165099166238238
126,x_trend_break_watch_60min,0.01008396845772562,0.2163909265883434
127,x_linearreg_ma_240min,0.12795169134953122,0.21630721922877774
128,x_sell_vol,0.3465374418156068,0.2154400766488523
129,x_ease_of_movement_60min_1,0.012606079454935156,0.21451184401112286
130,x_liquidity_240min_1,0.08305369716222097,0.21325800697342073
131,x_ma20_60min,0.7968314073829577,0.21299616721585013
132,x_klinger_240min,0.24089588445576213,0.21247128574419097
