,IC_mean,IC_std,IC_abs_mean,ICIR,valid_rate
x_price_channel_breakout_8slot,0.005059341,0.028930252,0.024646144,0.17488062,0.5552545108664322
x_price_delta_trend_8slot,0.004808725,0.035771113,0.0307804,0.1344304,0.669049403355047
x_williams_r_8slot,0.0046320595,0.016203647,0.014257487,0.2858652,0.28391076266789644
x_ma_midday_ret,0.004564782,0.029857075,0.02501151,0.15288778,0.5595203781633712
x_vol_ma_ratio_240min,0.004522349,0.029486185,0.023435127,0.1533718,0.4229549778059607
x_trend_break_watch_8slot,0.004506035,0.029115869,0.024638854,0.15476215,0.5524298149535943
x_parkinson_vol_240min,0.004465361,0.02350763,0.020069119,0.18995367,0.4780653715339828
x_vol_accel_8slot,0.0043879333,0.004366217,0.0051054494,1.0049734,0.0
x_vol_ma_ratio_8slot,0.004340698,0.016984187,0.014165039,0.2555729,0.23514152302991873
x_sar_diff_8slot,0.004200646,0.014271087,0.012593004,0.2943466,0.1884475701850464
x_realized_vol_240min,0.004039291,0.030689593,0.025138643,0.1316176,0.48417593820257104
x_hurst_240min,0.003844728,0.029016925,0.02565148,0.13249949,0.6304836571165043
x_volatility_240min,0.0037535874,0.03067579,0.02504411,0.12236318,0.4780653715339828
x_kurtosis_240min,0.0037243192,0.018901857,0.01514017,0.19703455,0.3018965815414769
x_break_position_8slot,0.003299439,0.018268168,0.01548967,0.18061137,0.32651178878192194
x_price_delta_volume_8slot,0.0031919805,0.024936533,0.02141352,0.12800418,0.4721277454314867
x_price_jump_8slot,0.0020621803,0.037439823,0.03165206,0.055079862,0.644607136680694
x_aroon_osc_8slot,0.0019334527,0.013106157,0.011283012,0.14752246,0.12359485790050152
x_trend_break2_8slot,0.0018390991,0.028287955,0.023612853,0.0650135,0.5297746007955266
