,factor,ic_ir,residual_ic_ir
78,x_stoch_k_60min,0.35117316561759804,0.18879647221519705
79,x_vol_price_corr_60min,0.08417632143728196,0.1872647496192376
80,x_stoch_d_60min,0.29864437273349803,0.18463320208933254
81,x_liquidity_240min,0.041679900270081435,0.18170804042596886
82,x_snr_240min,0.22619766915414397,0.18096978441316883
83,x_sar_diff_240min,0.07762489691026843,0.18094247235886038
84,x_vpin_60min,0.2794097624164808,0.17448715646330012
85,x_mom20_60min,0.004843816424101604,0.17314656469679066
86,x_p_ret_20h,0.004843816424101604,0.17314628782732894
87,x_ma5_240min,0.7869645733900124,0.1711645272666191
88,x_boll_upper_240min,1.0443781380351824,0.16928961669002404
89,x_spread_8h,,0.16058788676343505
90,x_sharpe_240min,0.2135319561781296,0.1577630368551145
91,x_spread_12h,,0.15268891738064952
92,x_skew_240min,0.17280752042310205,0.1515222484578759
93,x_donchian_pos_240min,0.1446025875350927,0.14766260055894226
94,x_vol_accel_240min,0.15037465476339065,0.1458882587413228
95,x_break_position_60min,0.4462082160866731,0.14479029421379233
96,x_kurtosis_60min,0.16554043817306688,0.1439397891908183
97,x_ma60_60min,0.92199644281945,0.1428788227307878
98,x_vol_weighted_return_240min,0.2241855631809891,0.1422958402946232
99,x_price_accel_240min,0.28879444806882304,0.14193219920558264
100,x_bvwap_dev_60min,0.1717777303994859,0.14112001201266539
101,x_return_1_240min,0.21309325242180044,0.13955624083518609
102,x_log_return_1_240min,0.21309325242180044,0.1394793721852439
103,x_close_pos_ratio_240min,0.1567027727852778,0.1375230374432878
104,x_sell_vol_l2,0.2576430653872433,0.13611856338363515
105,x_price_impact_60min,0.17743190186625823,0.13608693060962695
106,x_vol_ma_ratio_240min,0.001741084321250842,0.13501770684181227
107,x_ma_ret_2h,,0.13479605822611554
108,x_ultosc_240min,0.03268199941900993,0.13388357646621016
109,x_stoch_k_240min,0.11556051129526199,0.1311750846756601
110,x_rsi14_60min,0.25482175418644337,0.13092389332748408
111,x_rvi_240min,0.17682672765323298,0.1302570168992424
112,x_trend_break2_60min,0.08094993582518126,0.13008307279886833
113,x_p_ret_4h,0.3479565930291357,0.12947477513604336
114,x_price_ma250_dev_60min,0.07339187518757156,0.12865130677049194
115,x_vwap_slope_60min,0.4268048583121886,0.12824570378754782
116,x_mom5_60min,0.3968338332635434,0.12813699017810462
117,x_ma20_240min,0.9413992513320003,0.12779136378413752
118,x_intraday_vol_60min,0.34186531199531545,0.12698751450397675
119,x_buy_vol_l2,0.236787344377938,0.1250823252466094
120,x_rsi14_240min,0.09738802567914609,0.12182859583934975
