factor,icir,residual_icir
x_sharpe_8slot_1,0.16826936831599323,0.24231384466613845
x_chaikin_osc_8slot,0.11084984561922948,0.23947146998887353
x_vwap_dev_8slot_1,0.1286285455736475,0.23920254300107158
x_vwap_dev_8slot,0.026688668888817435,0.23852434916407977
x_buy_vol_l2_1,0.16961826449545966,0.23775018370294496
x_adx_8slot_1,0.11172417107876834,0.23574646709962382
x_trend_break2_8slot,0.10485801942180087,0.23466060893811821
x_pvt_240min_1,0.8150571978083372,0.23366116956304017
x_intraday_return_8slot_1,0.0011879251114075198,0.23309025057842445
x_vol_mom_240min,0.17254213652502462,0.2308413390962124
x_aroon_osc_8slot_1,0.140565261772347,0.2307285729625375
x_bid_ask_proxy_240min_1,0.07634465215315037,0.2297574249527209
x_rvi_240min_1,0.21512007966835192,0.22881381988234298
x_ad_8slot_1,0.11037965202491223,0.22793495403286818
x_trix_8slot,0.20334358738597916,0.22665852553864374
x_ma_ret_4h_1,,0.22517653568521048
x_spread_6h,,0.2245444282639853
x_volume_profile_240min,0.15487294406929866,0.2233444817219275
x_roc_8slot_1,0.008033215378110843,0.22196825571260015
x_price_delta_8slot,0.24483456562314107,0.2214883857344622
x_is_night_1,0.24215465785342336,0.22124779601554684
x_vol_weighted_return_240min,0.17455192265839087,0.22047442533374922
x_ma_ret_12h_1,,0.21916034427663306
x_adx_8slot,0.0954193425115376,0.21846118028693118
x_linearreg_ma_8slot_1,0.0689558808634392,0.2176091924354493
x_bvwap_8slot_1,0.8074396957128301,0.21619341724502392
x_price_impact_8slot,0.15363517995082945,0.21037969310111462
x_trend_break_watch_8slot,0.19746921960275107,0.21011361531683717
x_rvi_240min,0.18978209844391597,0.2081142156217919
x_skew_8slot_1,0.16008253426441615,0.20793549866219802
x_macd_signal_8slot,0.17663348762676803,0.20697001415614416
x_ma_afternoon_ret_1,,0.20624293167897775
x_vol_accel_8slot,0.2743418317690226,0.20489646471320366
x_macd_hist_8slot,0.03894961675825541,0.20384588144188945
x_vol_mom_8slot_1,0.10367774124320503,0.2034572113754055
x_trix_8slot_1,0.18872605954604232,0.20239843918096204
x_pvt_240min,0.8080410701227815,0.19972131642971966
x_vol_ratio_8slot_1,0.12329835903936212,0.19816975545780494
x_vwap_8slot_1,0.8236711091862562,0.1962967413009388
x_overnight_vol_8slot,0.2002905850219139,0.19561485061285663
x_sar_diff_8slot_1,0.018026450361250636,0.19493812841876668
x_gap_ratio_8slot,0.20025994947567363,0.19457498919237684
x_overnight_return_8slot,0.20025994947567363,0.19457498919237684
x_vol_mom_240min_1,0.152489520194543,0.1943856238312264
x_bvwap_pv,0.5103099485177951,0.19391219025774548
x_skew_8slot,0.1286933972865073,0.19345343209582652
x_spread_20h_1,,0.19300545291904234
x_boll_upper_8slot_1,0.821668049107993,0.19110382607507317
x_sharpe_8slot,0.08861536323727029,0.18726716198271967
x_open_1,0.8150013700528285,0.18614442194466949
x_cci_240min_1,0.15493411197389434,0.185387739916608
x_macd_signal_8slot_1,0.16636347156772313,0.1835285952007851
x_overnight_vol_8slot_1,0.16217643395945874,0.18256956080711462
x_log_return_1_8slot_1,0.15628076566381868,0.18249171398476727
x_return_1_8slot_1,0.15628076566381868,0.18233062915531031
x_p_ret_1h_1,0.1562750259656814,0.181980199135962
x_overnight_return_8slot_1,0.16214057389775438,0.18083985042218703
x_gap_ratio_8slot_1,0.16214057389775438,0.18083985042218703
