,factor,ic_ir,residual_ic_ir
174,x_ad_1,0.12539367274174382,0.12813743731956678
175,x_spread_4h,0.006668273518909102,0.12656256298419288
176,x_parabolic_sar,1.0745846786735176,0.12534978226233834
177,x_macd_histogram_1,0.10019228782874451,0.1251558933896676
178,x_spread_1h,0.18586890690502092,0.1211018200525331
179,x_cci_1,0.1265588672137533,0.1188215073595748
180,x_trend1,0.4512023530048449,0.11425776147417076
181,x_qstick,0.17812723396116886,0.10584474488900143
182,x_distribute,0.3650131604743453,0.104646908947685
183,x_klinger_1,0.06865643198038775,0.10146181809816456
184,x_price_vwap_deviation,0.23399700824458858,0.10052338074754476
185,x_ad,0.04808317517209699,0.09724636117457185
186,x_return_5d,0.29334321933628293,0.09721896398831058
187,x_ma_afternoon_ret_1,0.08611553913696955,0.09591600172703225
188,x_kurtosis,0.1612770669733805,0.09454534157587595
189,x_amihud_illiquidity_1,0.09289995788140314,0.09349836056019616
190,x_rvi,0.18923346199887658,0.08963979624089956
191,x_skewness,0.1340972531618241,0.08749585472858848
192,x_atr_1,0.6667921552247246,0.08510623060709889
193,x_boll_upper_1,1.2680800683053917,0.08369347871464124
194,x_momentum_20d,0.1338186057518866,0.08224818137751988
195,x_kyle_lambda,0.2363014149245515,0.08046640875998487
196,x_macd,0.0569754876307234,0.07245667181965539
197,x_spread_2h,0.11762022247686411,0.07233971636535438
198,x_kyle_lambda_lag,0.05071507191169944,0.07118332152955949
199,x_amihud_illiquidity,0.06013566139337892,0.06483260114231025
200,x_vwap_dev,0.5882618967814771,0.0598328830271091
201,x_ease_of_movement,0.043264211580723536,0.051842726178430484
202,x_kyle_lambda_1,0.19302509713229918,0.05175348049460249
203,x_return_5d_1,0.010299754176554968,0.04691387524205191
204,x_sharpe,0.12047201766282738,0.043228787507893815
205,x_skewness_1,0.058052812311012246,0.040654971800902884
206,x_ease_of_movement_1,0.03774928007312872,0.035598523144465294
207,x_volume_acceleration,0.041274176155317775,0.02769717034463702
208,x_kurtosis_1,0.07394939862479158,0.02708312858786445
209,x_price_vwap_deviation_1,0.052897802378568455,0.025247735072672844
210,x_williams_r_1,0.27107045118995304,0.024432505605761587
211,x_macd_histogram,0.06839913905036389,0.024346126237905188
